Episodes,Win Ratio 1,Win Ratio 2
93000,91.0,2.0
93100,95.0,2.0
93200,92.0,3.0
93300,93.0,4.0
93400,94.0,1.0
93500,97.0,0.0
93600,96.0,0.0
93700,93.0,3.0
93800,94.0,2.0
93900,96.0,2.0
94000,98.0,0.0
94100,93.0,4.0
94200,95.0,2.0
94300,94.0,1.0
94400,93.0,4.0
94500,96.0,2.0
94600,95.0,2.0
94700,96.0,2.0
94800,96.0,1.0
94900,98.0,1.0
95000,98.0,1.0
95100,97.0,2.0
95200,91.0,4.0
95300,93.0,1.0
95400,92.0,3.0
95500,89.0,6.0
95600,98.0,2.0
95700,93.0,0.0
95800,94.0,3.0
95900,93.0,2.0
96000,94.0,2.0
96100,95.0,1.0
96200,96.0,1.0
96300,91.0,3.0
96400,93.0,3.0
96500,95.0,3.0
96600,95.0,1.0
96700,92.0,2.0
96800,97.0,1.0
96900,96.0,2.0
97000,91.0,4.0
97100,96.0,1.0
97200,92.0,4.0
97300,89.0,6.0
97400,95.0,1.0
97500,93.0,2.0
97600,90.0,5.0
97700,96.0,2.0
97800,94.0,1.0
97900,97.0,2.0
98000,93.0,3.0
98100,88.0,3.0
98200,94.0,1.0
98300,92.0,5.0
98400,93.0,1.0
98500,94.0,2.0
98600,93.0,2.0
98700,97.0,1.0
98800,95.0,1.0
98900,93.0,4.0
99000,93.0,2.0
99100,97.0,1.0
99200,92.0,1.0
99300,96.0,1.0
99400,91.0,6.0
99500,91.0,7.000000000000001
99600,95.0,2.0
99700,91.0,4.0
99800,94.0,3.0
99900,95.0,3.0
100000,93.0,4.0
